row_type,generated_at,subject,subject_total_questions,subject_active_questions,subject_active_ratio_pct,class,area,subarea,difficulty,language,active,count,share_subject_pct
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,terra_stagioni_ambiente,ambiente_stagioni,2,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,terra_stagioni_ambiente,sostenibilita,2,it,1,9,1.24
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,terra_stagioni_ambiente,stagioni,1,it,1,12,1.66
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,terra_stagioni_ambiente,stagioni_e_ambiente,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,terra_stagioni_ambiente,tempo_atmosferico,1,it,1,8,1.11
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,animali_habitat,1,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,catena_alimentare,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,causa_effetto,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,ciclo_vitale,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,ciclo_vitale,2,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,classificazione_base,1,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,habitat_adattamento,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,osservazione_base,1,it,1,8,1.11
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,osservazione_base,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,parti_della_pianta,1,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,piante_osservazione,1,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,riconoscimento_non_viventi,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,viventi_non_viventi,riconoscimento_viventi,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,ecosistemi_ambiente,applicazione,2,it,1,31,4.29
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,ecosistemi_ambiente,base,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,ecosistemi_ambiente,catena_alimentare,1,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,ecosistemi_ambiente,catena_rete,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,ecosistemi_ambiente,tutela,2,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,materia_materiali,acqua,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,materia_materiali,applicazione,2,it,1,19,2.63
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,materia_materiali,aria_e_suolo,2,it,1,6,0.83
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,materia_materiali,proprieta,1,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,materia_materiali,stati,1,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,materia_materiali,trasformazioni,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,conclusioni,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,esperimento,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,ipotesi,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,lessico,1,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,osservazione,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,osservazione_dati,2,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,pratica,2,it,1,19,2.63
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,sequenza,2,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,metodo_scientifico,strumenti,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,viventi_biologia,animali,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,viventi_biologia,ciclo_vitale,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,viventi_biologia,habitat,1,it,1,8,1.11
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,viventi_biologia,nutrizione,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,viventi_biologia,piante,2,it,1,6,0.83
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,viventi_biologia,riconoscimento,2,it,1,16,2.21
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,3,viventi_biologia,vertebrati_invertebrati,1,it,1,2,0.28
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,aria_acqua_suolo_materia,acqua,2,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,aria_acqua_suolo_materia,applicazione,2,it,1,31,4.29
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,aria_acqua_suolo_materia,aria,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,aria_acqua_suolo_materia,passaggi_di_stato,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,aria_acqua_suolo_materia,suolo,2,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,aria_acqua_suolo_materia,trasformazioni,2,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,scienza_tecnologia,applicazione,2,it,1,39,5.39
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,scienza_tecnologia,dati_ambiente,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,scienza_tecnologia,metodo_strumenti,2,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,scienza_tecnologia,misurazioni,2,it,1,2,0.28
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,viventi_ambiente,biodiversita,2,it,1,35,4.84
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,viventi_ambiente,botanica,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,viventi_ambiente,catene_reti,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,viventi_ambiente,ecosistemi,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,viventi_ambiente,educazione_ambientale,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,viventi_ambiente,funzioni_vitali,2,it,1,14,1.94
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,4,viventi_ambiente,zoologia,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,astronomia_terra,luna,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,astronomia_terra,movimenti_terra,2,it,1,21,2.90
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,astronomia_terra,pianeti,1,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,astronomia_terra,sistema_solare,2,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,corpo_umano_salute,apparati_e_sistemi,2,it,1,20,2.77
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,corpo_umano_salute,educazione_salute,2,it,1,35,4.84
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,corpo_umano_salute,organi_apparati,2,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,corpo_umano_salute,organi_di_senso,1,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,corpo_umano_salute,salute_e_funzionamento,2,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,forze_luce_suono,applicazione,2,it,1,21,2.90
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,forze_luce_suono,fenomeni_fisici,2,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,forze_luce_suono,forze,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,forze_luce_suono,luce_e_suono,2,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,materia_energia_fenomeni,energia,2,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,materia_energia_fenomeni,materia_e_calore,2,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,5,materia_energia_fenomeni,sostenibilita_energetica,2,it,1,25,3.46
subject_summary,2026-04-20T04:40:07Z,storia,771,771,100.00,,,,,,,,
